"vary","value","sim","sensitivity","specificity","fdr","n_selected"
"households",40,5,1,0.336842105263158,0.926470588235294,68
"households",40,6,1,0.294736842105263,0.930555555555556,72
"households",40,7,1,0.221052631578947,0.936708860759494,79
"households",40,8,1,0.273684210526316,0.932432432432432,74
"households",40,9,1,0.126315789473684,0.943181818181818,88
"households",40,10,1,0.284210526315789,0.931506849315068,73
"households",40,11,1,0.4,0.919354838709677,62
"households",40,12,1,0.347368421052632,0.925373134328358,67
"households",40,13,1,0.389473684210526,0.920634920634921,63
"households",40,14,1,0.231578947368421,0.935897435897436,78
"households",40,15,1,0.284210526315789,0.931506849315068,73
"households",40,16,1,0.210526315789474,0.9375,80
"households",40,17,1,0.294736842105263,0.930555555555556,72
"households",40,18,0.8,0.2,0.95,80
"households",40,19,1,0.273684210526316,0.932432432432432,74
"households",40,20,1,0.557894736842105,0.893617021276596,47
"households",40,21,1,0.157894736842105,0.941176470588235,85
"households",40,22,1,0.252631578947368,0.934210526315789,76
"households",40,23,1,0.263157894736842,0.933333333333333,75
"households",40,24,1,0.368421052631579,0.923076923076923,65
"households",40,25,1,0.347368421052632,0.925373134328358,67
"households",40,26,1,0.347368421052632,0.925373134328358,67
"households",40,27,1,0.336842105263158,0.926470588235294,68
"households",40,28,0.8,0.305263157894737,0.942857142857143,70
"households",40,29,0.8,0.326315789473684,0.941176470588235,68
"households",40,30,1,0.231578947368421,0.935897435897436,78
"households",40,31,1,0.315789473684211,0.928571428571429,70
"households",40,32,0.8,0.252631578947368,0.946666666666667,75
"households",40,33,1,0.273684210526316,0.932432432432432,74
"households",40,34,1,0.421052631578947,0.916666666666667,60
"households",40,35,1,0.221052631578947,0.936708860759494,79
"households",40,36,1,0.231578947368421,0.935897435897436,78
"households",40,37,1,0.126315789473684,0.943181818181818,88
"households",40,38,1,0.221052631578947,0.936708860759494,79
"households",40,39,1,0.263157894736842,0.933333333333333,75
"households",40,40,1,0.157894736842105,0.941176470588235,85
"households",40,41,1,0.242105263157895,0.935064935064935,77
"households",40,42,1,0.347368421052632,0.925373134328358,67
"households",40,43,1,0.252631578947368,0.934210526315789,76
"households",40,44,0.8,0.210526315789474,0.949367088607595,79
"households",40,45,1,0.284210526315789,0.931506849315068,73
"households",40,46,1,0.0631578947368421,0.946808510638298,94
"households",40,47,1,0.221052631578947,0.936708860759494,79
"households",40,48,1,0.4,0.919354838709677,62
"households",40,49,1,0.378947368421053,0.921875,64
"households",40,50,1,0.294736842105263,0.930555555555556,72
"days",30,1,0.8,0.147368421052632,0.952941176470588,85
"days",30,2,0.8,0.263157894736842,0.945945945945946,74
"days",30,3,1,0.178947368421053,0.939759036144578,83
"days",30,4,0.8,0.147368421052632,0.952941176470588,85
"days",30,5,0.6,0.263157894736842,0.958904109589041,73
"days",30,6,0.8,0.147368421052632,0.952941176470588,85
"days",30,7,1,0.326315789473684,0.927536231884058,69
"days",30,8,1,0.242105263157895,0.935064935064935,77
"days",30,9,0.6,0.105263157894737,0.965909090909091,88
"days",30,10,1,0.168421052631579,0.94047619047619,84
"days",30,11,1,0.305263157894737,0.929577464788732,71
"days",30,12,1,0.136842105263158,0.942528735632184,87
"days",30,13,0.6,0.305263157894737,0.956521739130435,69
"days",30,14,1,0.0526315789473684,0.947368421052632,95
"days",30,15,0.8,0.347368421052632,0.939393939393939,66
"days",30,16,0.8,0.178947368421053,0.951219512195122,82
"days",30,17,1,0.378947368421053,0.921875,64
"days",30,18,1,0.157894736842105,0.941176470588235,85
"days",30,19,0.8,0.189473684210526,0.950617283950617,81
"days",30,20,0.8,0.252631578947368,0.946666666666667,75
"days",30,21,1,0.0736842105263158,0.946236559139785,93
"days",30,22,0.8,0.284210526315789,0.944444444444444,72
"days",30,23,0.8,0.105263157894737,0.955056179775281,89
"days",30,24,0.8,0.168421052631579,0.951807228915663,83
"days",30,25,0.8,0.168421052631579,0.951807228915663,83
"days",30,26,1,0.2,0.938271604938272,81
"days",30,27,1,0.252631578947368,0.934210526315789,76
"days",30,28,1,0.294736842105263,0.930555555555556,72
"days",30,29,1,0.126315789473684,0.943181818181818,88
"days",30,30,0.8,0.221052631578947,0.948717948717949,78
"days",30,31,0.8,0.115789473684211,0.954545454545455,88
"days",30,32,1,0.115789473684211,0.943820224719101,89
"days",30,33,0.8,0.168421052631579,0.951807228915663,83
"days",30,34,0.8,0.347368421052632,0.939393939393939,66
"days",30,35,0.8,0.157894736842105,0.952380952380952,84
"days",30,36,0.8,0.242105263157895,0.947368421052632,76
"days",30,37,1,0.284210526315789,0.931506849315068,73
"days",30,38,1,0.210526315789474,0.9375,80
"days",30,39,1,0.189473684210526,0.939024390243902,82
"days",30,40,1,0.178947368421053,0.939759036144578,83
"days",30,41,0.4,0.115789473684211,0.976744186046512,86
"days",30,42,1,0.189473684210526,0.939024390243902,82
"days",30,43,1,0.315789473684211,0.928571428571429,70
"days",30,44,0.8,0.105263157894737,0.955056179775281,89
"days",30,45,1,0.2,0.938271604938272,81
"days",30,46,1,0.221052631578947,0.936708860759494,79
