"vary","value","sim","model","fdr_threshold","sensitivity","false_positives","n_significant","observed_fdr"
"households",10,38,"Simple univariate",0.05,1,22,27,0.814814814814815
"households",10,38,"Simple univariate",0.1,1,34,39,0.871794871794872
"households",10,38,"Simple univariate",0.2,1,41,46,0.891304347826087
"households",10,38,"Covariate-adjusted",0.05,0.4,6,8,0.75
"households",10,38,"Covariate-adjusted",0.1,0.4,7,9,0.777777777777778
"households",10,38,"Covariate-adjusted",0.2,0.4,24,26,0.923076923076923
"households",10,39,"Simple univariate",0.05,0.8,22,26,0.846153846153846
"households",10,39,"Simple univariate",0.1,0.8,33,37,0.891891891891892
"households",10,39,"Simple univariate",0.2,1,44,49,0.897959183673469
"households",10,39,"Covariate-adjusted",0.05,0.6,16,19,0.842105263157895
"households",10,39,"Covariate-adjusted",0.1,0.6,25,28,0.892857142857143
"households",10,39,"Covariate-adjusted",0.2,0.6,33,36,0.916666666666667
"households",10,40,"Simple univariate",0.05,0.8,20,24,0.833333333333333
"households",10,40,"Simple univariate",0.1,0.8,24,28,0.857142857142857
"households",10,40,"Simple univariate",0.2,0.8,37,41,0.902439024390244
"households",10,40,"Covariate-adjusted",0.05,0.4,9,11,0.818181818181818
"households",10,40,"Covariate-adjusted",0.1,0.6,13,16,0.8125
"households",10,40,"Covariate-adjusted",0.2,0.8,26,30,0.866666666666667
"households",10,41,"Simple univariate",0.05,0.4,19,21,0.904761904761905
"households",10,41,"Simple univariate",0.1,0.4,23,25,0.92
"households",10,41,"Simple univariate",0.2,0.6,28,31,0.903225806451613
"households",10,41,"Covariate-adjusted",0.05,0.4,6,8,0.75
"households",10,41,"Covariate-adjusted",0.1,0.4,17,19,0.894736842105263
"households",10,41,"Covariate-adjusted",0.2,0.6,25,28,0.892857142857143
"households",10,42,"Simple univariate",0.05,0.8,17,21,0.80952380952381
"households",10,42,"Simple univariate",0.1,0.8,20,24,0.833333333333333
"households",10,42,"Simple univariate",0.2,0.8,25,29,0.862068965517241
"households",10,42,"Covariate-adjusted",0.05,0.6,7,10,0.7
"households",10,42,"Covariate-adjusted",0.1,0.6,12,15,0.8
"households",10,42,"Covariate-adjusted",0.2,0.6,14,17,0.823529411764706
"households",10,43,"Simple univariate",0.05,1,22,27,0.814814814814815
"households",10,43,"Simple univariate",0.1,1,25,30,0.833333333333333
"households",10,43,"Simple univariate",0.2,1,35,40,0.875
"households",10,43,"Covariate-adjusted",0.05,0.4,9,11,0.818181818181818
