"households","sim","method","sensitivity","false_positives","n_significant","observed_fdr"
5,32,"Adjusted (direct FDR<0.05)",0.4,12,14,0.857142857142857
5,32,"Mediation (Direct class)",0.4,8,10,0.8
5,32,"Strict mediation",0,4,4,1
5,33,"Standard (total FDR<0.05)",0.8,15,19,0.789473684210526
5,33,"Adjusted (direct FDR<0.05)",0.4,1,3,0.333333333333333
5,33,"Mediation (Direct class)",0.4,1,3,0.333333333333333
5,33,"Strict mediation",0,0,0,0
5,34,"Standard (total FDR<0.05)",0.6,20,23,0.869565217391304
5,34,"Adjusted (direct FDR<0.05)",0.2,16,17,0.941176470588235
5,34,"Mediation (Direct class)",0.2,10,11,0.909090909090909
5,34,"Strict mediation",0,4,4,1
5,35,"Standard (total FDR<0.05)",0.4,16,18,0.888888888888889
5,35,"Adjusted (direct FDR<0.05)",0,11,11,1
5,35,"Mediation (Direct class)",0,9,9,1
5,35,"Strict mediation",0,0,0,0
5,36,"Standard (total FDR<0.05)",0.6,9,12,0.75
5,36,"Adjusted (direct FDR<0.05)",0.4,17,19,0.894736842105263
5,36,"Mediation (Direct class)",0.4,7,9,0.777777777777778
5,36,"Strict mediation",0,1,1,1
5,37,"Standard (total FDR<0.05)",0.8,17,21,0.80952380952381
5,37,"Adjusted (direct FDR<0.05)",0.2,14,15,0.933333333333333
5,37,"Mediation (Direct class)",0.2,11,12,0.916666666666667
5,37,"Strict mediation",0,2,2,1
5,38,"Standard (total FDR<0.05)",0.4,15,17,0.882352941176471
5,38,"Adjusted (direct FDR<0.05)",0.4,7,9,0.777777777777778
5,38,"Mediation (Direct class)",0.4,5,7,0.714285714285714
5,38,"Strict mediation",0,1,1,1
5,39,"Standard (total FDR<0.05)",0.4,13,15,0.866666666666667
5,39,"Adjusted (direct FDR<0.05)",0.2,8,9,0.888888888888889
5,39,"Mediation (Direct class)",0.2,6,7,0.857142857142857
5,39,"Strict mediation",0,1,1,1
5,40,"Standard (total FDR<0.05)",0.6,21,24,0.875
5,40,"Adjusted (direct FDR<0.05)",0.4,21,23,0.91304347826087
5,40,"Mediation (Direct class)",0.4,14,16,0.875
5,40,"Strict mediation",0,3,3,1
5,41,"Standard (total FDR<0.05)",0.4,16,18,0.888888888888889
5,41,"Adjusted (direct FDR<0.05)",0.2,9,10,0.9
5,41,"Mediation (Direct class)",0.2,4,5,0.8
5,41,"Strict mediation",0,0,0,0
5,42,"Standard (total FDR<0.05)",0.2,12,13,0.923076923076923
5,42,"Adjusted (direct FDR<0.05)",0.2,5,6,0.833333333333333
5,42,"Mediation (Direct class)",0.2,4,5,0.8
5,42,"Strict mediation",0,2,2,1
5,43,"Standard (total FDR<0.05)",0.4,17,19,0.894736842105263
5,43,"Adjusted (direct FDR<0.05)",0,10,10,1
5,43,"Mediation (Direct class)",0,9,9,1
5,43,"Strict mediation",0,3,3,1
5,44,"Standard (total FDR<0.05)",0.6,24,27,0.888888888888889
5,44,"Adjusted (direct FDR<0.05)",0.2,10,11,0.909090909090909
5,44,"Mediation (Direct class)",0.2,7,8,0.875
5,44,"Strict mediation",0,1,1,1
5,45,"Standard (total FDR<0.05)",0.6,13,16,0.8125
5,45,"Adjusted (direct FDR<0.05)",0.4,5,7,0.714285714285714
5,45,"Mediation (Direct class)",0.4,4,6,0.666666666666667
5,45,"Strict mediation",0,0,0,0
5,46,"Standard (total FDR<0.05)",0.4,17,19,0.894736842105263
5,46,"Adjusted (direct FDR<0.05)",0.2,17,18,0.944444444444444
5,46,"Mediation (Direct class)",0.2,12,13,0.923076923076923
